product_id,review_count_observed,review_avg_rating,recommendation_rate,avg_helpfulness,avg_review_length,skin_share_dry,theme_lightweight_count,theme_greasy_count,theme_hydrating_count,theme_drying_count,theme_fragrance_count,theme_irritation_count,theme_breakout_count,theme_absorption_count,theme_sticky_count,theme_texture_count,theme_effective_count,skin_share_unknown,skin_share_combination,skin_share_normal,skin_share_oily,skin_share_sensitive
P474304,529,4.408317580340265,0.8979206049149339,0.7973557582019635,309.32703213610586,0.18525519848771266,3,69,59,202,216,110,82,0,1,289,78,0.013232514177693762,0.5406427221172023,0.12476370510396975,0.13610586011342155,0.0
P463353,528,3.3958333333333335,0.5909090909090909,0.832296935889425,396.0378787878788,0.17803030303030304,28,66,67,92,16,23,36,21,23,168,97,0.013257575757575758,0.5189393939393939,0.16666666666666666,0.12310606060606061,0.0
P459133,528,4.238636363636363,0.7840909090909091,0.804607974871787,273.6666666666667,0.20265151515151514,2,39,41,154,195,77,82,0,0,256,63,0.005681818181818182,0.5643939393939394,0.125,0.10227272727272728,0.0
P442003,528,4.083333333333333,0.7916666666666666,0.4842597784197077,290.8087121212121,0.16287878787878787,4,11,212,96,112,6,1,3,20,249,47,0.022727272727272728,0.5265151515151515,0.1268939393939394,0.16098484848484848,0.0
P453227,528,4.238636363636363,0.7840909090909091,0.804607974871787,273.6666666666667,0.20265151515151514,2,39,41,154,195,77,82,0,0,256,63,0.005681818181818182,0.5643939393939394,0.125,0.10227272727272728,0.0
P434546,524,3.881679389312977,0.7137404580152672,0.7320559625725516,360.7480916030534,0.16793893129770993,3,82,103,75,178,112,151,23,19,168,142,0.007633587786259542,0.5229007633587787,0.15648854961832062,0.1450381679389313,0.0
P474060,524,4.541984732824427,0.8830409356725146,0.7913236020806622,299.19847328244276,0.09923664122137404,1,81,43,117,19,102,129,2,1,177,137,0.05152671755725191,0.5477099236641222,0.1049618320610687,0.1965648854961832,0.0
P422002,524,4.541984732824427,0.8830409356725146,0.7913236020806622,299.19847328244276,0.09923664122137404,1,81,43,117,19,102,129,2,1,177,137,0.05152671755725191,0.5477099236641222,0.1049618320610687,0.1965648854961832,0.0
P460723,524,2.562977099236641,0.37786259541984735,0.8778141494022167,256.3148854961832,0.16030534351145037,0,12,21,101,156,59,13,0,64,183,58,0.03816793893129771,0.48854961832061067,0.20801526717557253,0.1049618320610687,0.0
P94812,523,4.6137667304015295,0.8461538461538461,0.8587245563057815,264.9082217973231,0.11089866156787763,0,41,25,106,146,115,48,0,0,204,83,0.2447418738049713,0.4665391969407266,0.11281070745697896,0.06500956022944551,0.0
P479304,520,4.4653846153846155,0.875,0.7556450006208921,332.5403846153846,0.22884615384615384,41,56,258,126,82,59,34,72,88,268,96,0.015384615384615385,0.5057692307692307,0.14423076923076922,0.10576923076923077,0.0
P464238,519,4.674373795761079,0.9614643545279383,0.8443980967060903,340.82273603082854,0.21579961464354527,29,138,401,144,142,72,68,79,27,304,123,0.005780346820809248,0.5472061657032755,0.13680154142581888,0.09441233140655106,0.0
P440075,518,4.196911196911197,0.7915057915057915,0.7584889427544154,420.2239382239382,0.18532818532818532,6,33,72,74,75,116,157,14,6,132,208,0.013513513513513514,0.525096525096525,0.13706563706563707,0.138996138996139,0.0
P443841,518,3.030888030888031,0.5077220077220077,0.776547191273651,327.9382239382239,0.25096525096525096,4,31,93,60,45,139,47,28,5,234,128,0.005791505791505791,0.48841698841698844,0.1525096525096525,0.10231660231660232,0.0
P500857,517,4.707930367504836,0.9574468085106383,0.705193663875644,311.78916827853,0.14893617021276595,8,13,25,103,13,97,454,6,1,89,222,0.0367504835589942,0.5415860735009671,0.13152804642166344,0.14119922630560927,0.0
P407450,515,4.260194174757282,0.8821656050955414,0.7807429173163005,400.15728155339804,0.11650485436893204,0,1,54,40,147,5,8,7,25,39,117,0.2543689320388349,0.3766990291262136,0.16116504854368932,0.0912621359223301,0.0
P459127,514,4.570038910505836,0.8891050583657587,0.7994746811107382,227.53696498054475,0.1575875486381323,1,1,70,21,16,42,0,0,50,72,142,0.04669260700389105,0.5330739299610895,0.18482490272373542,0.07782101167315175,0.0
